Area,Area Code,Item,Item Code,current_year,current_area_harvested_ha,current_production_t,current_yield_kg/ha,beta,beta_std_err,n_obs
Africa,5100,"Other beans, green",414,2023,82103.0,785953.54,9572.7,0.6742075428210059,0.07316883822724418,62
Africa,5100,Other berries and fruits of the genus vaccinium n.e.c.,558,2023,1013.0,8148.83,8041.1,0.4080597318759071,0.0623367107925295,62
Africa,5100,"Other citrus fruit, n.e.c.",512,2023,1004929.0,5442859.81,5416.2,0.9320540930143668,0.047127360321702415,62
Africa,5100,"Other fibre crops, raw, n.e.c.",821,2023,349852.0,48070.52,137.4,-0.15047626682584878,0.0821619307545806,62
Africa,5100,"Other fruits, n.e.c.",619,2023,1060974.0,6715457.23,6329.5,0.748265817181623,0.21320814524859413,62
Africa,5100,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",234,2023,140198.0,290315.14,2070.7,0.07388811894239267,0.9750279506753162,62
Africa,5100,"Other oil seeds, n.e.c.",339,2023,814905.0,696984.11,855.3,0.7825824894923262,0.07258631348413354,62
Africa,5100,Other pulses n.e.c.,211,2023,2005521.0,1323109.33,659.7,0.61017986125374,0.05884668180545297,62
Africa,5100,"Other stimulant, spice and aromatic crops, n.e.c.",723,2023,329837.0,328486.78,995.9,1.006490301036308,0.045575940169801925,62
Africa,5100,Other stone fruits,541,2023,4460.0,44571.54,9994.3,1.4063351680175948,0.6147923020690357,39
Africa,5100,"Other tropical fruits, n.e.c.",603,2023,201091.0,858928.21,4271.3,-0.0007634933139014713,0.22426231366545352,62
Africa,5100,"Other vegetables, fresh n.e.c.",463,2023,2855886.0,21835508.9,7645.8,0.7925261574788592,0.08040453736601197,62
Africa,5100,Papayas,600,2023,142078.0,1458095.62,10262.6,0.7324404012790807,0.05440216603213637,62
Africa,5100,Peaches and nectarines,534,2023,77789.0,1026384.99,13194.5,0.29962829256147844,0.07980686734292806,62
Africa,5100,Pears,521,2023,48394.0,802011.61,16572.6,0.4160918654728574,0.07869795720555432,62
